id,text,label,source,notes
1,Insane that Mbappe has that many at age 27. Hes gonna obliterate the record,reaction,r/soccer,"Hard case (Edge Case 2): reasoned reaction - amazement time-anchored to Messi tying the record live, not standalone analysis."
2,"Mbappe almost single-handedly carried France in the '22 WC Final. You know, not many players could score a hat-trick in the WC Final.",hot_take,r/soccer,
3,"World Cup goal records in general are almost entirely a measure of How good your team is in general How much of a focal point you are within your team's offense The sample size just isn't large enough to provide any meaningful data outside of ""oh, that's neat."" Messi's La Liga records are far more impressive than this IMO.",analysis,r/soccer,
4,"How good the team is, is a good point. Klose was in four world cups and all four times Germany were through to the semifinals. Also agree with your other points as well. Its a lot of luck, being healthy during the tournament, and that you happen to be in a system that props up your goalscoring. Klose was class but nobody would actually rate him as a better goalscorer than Ronaldo Fenmeno and Messi.",hot_take,r/soccer,Hard case (Edge Case 1): stat-decorated hot_take - Klose semifinal stat decorates a predetermined ranking conclusion.
5,"Ronaldinho was 26 when he played his last wc. You never know how a players career will turn out.He can regress,and with him playing for france thats stacked,there could be someone who starts in front of him.He can also be injured for the next one,and hed be 35 before his next chance.",analysis,r/soccer,
6,Looks like mbappe will be the record holder in the future probably. he's only 27. Could potentially attend 3 more world cups.,hot_take,r/soccer,
7,Messi is going to take this comment personally and start scoring hattricks every game for the rest of the tournament,hot_take,r/soccer,
8,He could hold it when this world cup is done.,reaction,r/soccer,
9,"He now officially doesn't really have anything left to accomplish in football, tbh. He's platinum trophy'd the entire sport.",hot_take,r/soccer,
10,False. He still has a legitimate shot at banging every woman from Argentin,reaction,r/soccer,
11,traight dudes also. Probably half of argentinas male fans would accept having sex with Messi just because he is messi,hot_take,r/soccer,
12,Just trying to inspire the devs to make some new achievements.,reaction,r/soccer,
13,He said hmmm ima start this game by scoring Immediately,reaction,r/soccer,
14,You watch film too huh? That's cool - watch this,reaction,r/soccer,
15,Barring injury in sports is insane. The risk of Mbappe ruining his body in the next 10 years is massiv,hot_take,r/soccer,
16,He's got his WC trophy and now he can have fun. You can see it on his f,hot_take,r/soccer,
17,And he didnt score in 2010. Just took that tournament off. Has a goose egg for a whole tournament and still ties the record.,hot_take,r/soccer,
18,"The problem with this statement is that scoring from that spot is not the easiest thing in the world by any means. Messi is the best ever at scoring goals from this spot - centrally, just outside the box - but for your average player, and even many top players, having that much space in that spot is no guarantee of a goal. Not to mention that the pass was behind Messi and he had to adjust and move quickly before getting closed down by defenders. Messi is just that automatic. Theres a reason hes the goat.",hot_take,r/soccer,
19,"True - but still, all the defenders ran through to the top of the box, leaving him jogging behind. He made space for himself simply by running a little slower. But that's what champions do in sports like this, isn't it? Wear you down, and make you pay for every little tactical mistake.",analysis,r/soccer,
20,Well today I learned: Keeper for Football/Soccer Tender for Hockey,reaction,r/soccer,
21,yea like in all seriousness he's gone to the MLS in a very big way to spread the game to America and so far i would say it's been a success cause Football really has the biggest ceiling for expansion in America and yea if it continues to develop one day it will be bigger than the traditional big 4 sports played in Ameri,analysis,r/soccer,
22,"Messi, LeBron, Ohtani, Phelps, Bolt, Serena, Simone. What a run of GOATs we've enjoyed the last 20 years. Edit: and Brady of cours",reaction,r/soccer,
23,"I know American football isnt as popular worldwide and he just retired, but Tom Brady should be in that group too.",reaction,r/soccer,
24,10 conference championships one was an nfc championship with Tamp,reaction,r/soccer,
25,"If you're going to allow Messi that much space at that distance, you get what you deserve. Well taken obviously, but lax defending.",hot_take,r/soccer,
26,"The goalie was so pissed (I think) because you can see the FOUR (FOUR!!!!!) defenders lined up and gave Messi a lane...a veritable hallway...to knock that ball in. They practically ""after you....""'d it. Damn.",reaction,r/soccer,
27,He played against the Algerian goalies father in a league game.,reaction,r/soccer,
28,Well now I dont know who to believe and Im certainly not gonna look it up for myself.,hot_take,r/soccer,
29,He played against Zinedine in 2005 in an El Clasico matchup,reaction,r/soccer,
30,I think i remember how some people were saying that his last world cup was likely his last. And then he comes in and does this!?! Wtf!! GOAT!,reaction,r/soccer,
31,I just saw the post with the first goal wdym he scored a hattrick,reaction,r/soccer,
32,He scored all three of the goals for agentina tonight,reaction,r/soccer,
33,Maybe hes finally ready for a move out of the MLS to Europe. He seems like he would fit the playstyle of Barcelon,hot_take,r/soccer,
34,"His first WC goal was on June 16th 2006. Today, literally 20 years later ON THE DOT, he scores again on a WC. THE GOAT!",reaction,r/soccer,
35,"It's weird, the defenders looked unconcerned that Lionel Messi had the ball at the top of the penalty box like that.",hot_take,r/soccer,
36,My favorite part of Messi with Argentina is his teammates seem genuinely in awe and appreciative of him,hot_take,r/soccer,
37,"Even though MLS is a second category league, he wasn't greedy and stupid enough to go to Saudi Arabia to play sunday matches",hot_take,r/soccer,
38,Holy shit what a way to start out the World Cup,reaction,r/soccer,
39,If this was in Toronto or Vancouver hats would have made it to the pitch,reaction,r/soccer,
40,Almost comical the way the defense all lined up in a cone and he shot right down the middle.,hot_take,r/soccer,
41,I coulda sworn he said he was done after last tim,reaction,r/soccer,
42,8 years ago France played Croatia in the finals. Argentina lost to france in the round of 16.,hot_take,r/soccer,
43,He aint as good as he once was but hes as good once now as he ever was,hot_take,r/soccer,
44,Toby Keith has entered the (soccer) chat. *brand new sentence*,reaction,r/soccer,
45,"He made this shit look child's play. You can't waste that sort of virtuosity, and he must know it.",hot_take,r/soccer,
46,Messi is the GOAT but what about that pass? how did the ball even reach him in the first p,hot_take,r/soccer,
47,The announcer literally talked about it during this 13 second clip.,reaction,r/soccer,
48,First thing I noticed watching this highlight was the pass. Unbeliev,reaction,r/soccer,
49,"k. i'm not an expert. i watch a dozen or so matches a year and then more in olympics/cup years. i do watch highlights now and then. so this is coming from a casual, but i think that makes the point more salient. this game has never, ever, ever ever looked difficult for him.",analysis,r/soccer,
50,"I watched this goal like 20 times from several angles, and it still looks routine.",reaction,r/soccer,
51,he had entire seasons where hed just pick a different kind of shot he wanted to perfect and scored them every gam,hot_take,r/soccer,
52,"And if he's not scoring, he's still an absolutely elite level dribbler and passer. Guy has 360 degree vision somehow.",hot_take,r/soccer,
53,"The penalty he took against France in the final bro... Probably the most important moment for his country in decades, a level of pressure most people will never experience in their entire life, he just casually taps it in.",reaction,r/soccer,
54,This fuckery wont go on for much longer thank god,reaction,r/soccer,
55,"MESSI the GOAT, only 3 more for most goals in the World Cup",reaction,r/soccer,
56,Hes got 2 maybe 3 more world cups in him probably.,reaction,r/soccer,
57,"Thank god for that laser of a kick, will totally distract from the fact that his teammate just..tripped over his own feet in the background. No one will ever noti",hot_take,r/soccer,
58,Just isnt going to be the same when he retires,reaction,r/soccer,
59,After seeing Ben Simmons last night... Hey LeBron. We're good.,reaction,r/soccer,
60,he did his job if were still talking about it,reaction,r/soccer,
61,The best player of all time. It's not even up for debate. He's literally a level above everyone else.,hot_take,r/soccer,
62,"Even if Ronaldo and Portugal wins the World Cup this year, he still doesnt top Messi in the debat",hot_take,r/soccer,
63,Its not up for debate but everytime he does anything someone comes in to say this because its absolutely up for debate,hot_take,r/soccer,
64,"Was walking down the street in NYC, heard a guy start screaming about Messi, I asked if Argentina just scored. Few seconds later, a bar I just passed with a massive screen outdoors started cheering. Guy on his phone showed me the score. It was a cute moment. The World Cup energy is great.",reaction,r/soccer,
65,You just dont give that man that much free space.,reaction,r/soccer,
66,hould have been send off after his foul. Clearly a red card.,reaction,r/soccer,
67,I thought the same thing after I saw the tackle on replay.,reaction,r/soccer,
68,"I would have done it similarly"" - stolen comment I always think about when I see stuff like this",hot_take,r/soccer,
69,That pass to set him up gave me a chub.,reaction,r/soccer,
70,Maybe I just dont understand soccer but why on earth did the opposing team not press him when he got the ball??,hot_take,r/soccer,
71,The guy that passed him that ball should get more validation too. What a pass,reaction,r/soccer,
72,I laughed. Switzerland was pretty dominant all game and just failed to build any cushion.,reaction,r/soccer,
73,"It was truly incredible premonition. The US-coverage broadcast talent has been notably good so far, but this prediction amazed me. With apologies, I do not know who made the call (Derek Rae or Rob Green), but around minute 40 one mentioned (my paraphrasing): 'Qatar is happy to go into halftime down 1-0, and they'll be happy if stays 1-0 late. They can make key subs and go very fast and aggressive to steal a last-minute goal.'",reaction,r/soccer,
74,"My favorite call of the game was when the commentator was talking about how Switzerland was dominating possession. Qatar had just made a steal near their box and the commentator said now they've got a good chance to build some momentum instead of just clearing it to midfield. As soon as he said that, the defender launched the ball to mid field and Switzerland immediately took possession off the clearance and you could hear him audibly groan.",analysis,r/soccer,
75,You let a team hang around long enough and they start to believe in themselves. Happens so damn often.,hot_take,r/soccer,
76,Couldnt even say the Swiss were dominant. One goal up and plodded along for the rest of the match. Lol did you watch the match? Switzerland had a record 24 shots / 7 shots on goal to Qatar's 5/2. One on the widest margins in World Cup history. And they dominated possession with over 75%. You could definitely say Switzerland was dominant.,analysis,r/soccer,
77,"Precisely what I meant! It also seemed like 75% of the time Qatar would start to break out, a Swiss player would just casually snatch the ball or shut the rush down.",reaction,r/soccer,
78,"We have that saying in English too. A very famous race car driver said, ""If you ain't first, you're last.",hot_take,r/soccer,
79,And their goal was gift-wrapped for them on a silver plate What the hell was that penalty anyway?,reaction,r/soccer,
80,"I dont have any stats to back it up, but I simply mean the Swiss possessed the ball more and generated several scoring chances.",hot_take,r/soccer,
81,"witzerland was so dominant but so bad too, i was borderline screaming at my TV cause they just looked incompetent on the ball somehow",reaction,r/soccer,
82,"Theoretically you could get screwed over by every team winning one, tying one and losing one, but 4 points should be pretty safe.",hot_take,r/soccer,
83,"Theoretically, you could have 2 teams on 6 points not qualifying for the knockouts, but it would have to be a very very specific set of results! Indeed I think it is already impossible after just the first set of games (every group that has a draw reduces the number of teams that could go out on 6 points by one, and two groups have already had a draw)",reaction,r/soccer,
84,"Italy euro 2004, went home with a win and 2 draws",reaction,r/soccer,
85,"Ftr, Switzerland are not the top seed in the group, Canada are as hosts. Canada are one rank behind the lowest ranked team that was in Pot 2 (Australia) so theoretically if they weren't seeded as hosts they would have been in Pot 2 (with Croatia moving into Pot 1) and wouldn't have been able to play against Switzerland. It's true that Switzerland are the highest ranked team in the group but they are not a Pot 1, or rather top seeded, team.",analysis,r/soccer,
86,"Basically yes, if they beat Qatar they are through guaranteed. 4 points would be enough for top 2 probably and definitely 3rd.",hot_take,r/soccer,
87,"Perfect... I feel bad for the Swiss. They dominated most of the game, unlucky having several shots just miss by a few. But for the shots on goal Qatar's goalie did a great job keeping them in the game. Anything can happen towards the end when both teams are tired. It was just a perfect pass at the last moment.",reaction,r/soccer,
88,"The right back for the Swiss should be ashamed of how he played the last 15 minutes of the game. He was clearly tired, jogging, not getting stuck in. He should have been subbed out at half tim",reaction,r/soccer,
89,"For sure. Dude kept getting burnt on that side. After two times Im subbing him out, eventually it cost them the 3 points",hot_take,r/soccer,
90,"Its not over until that whistle blows! Props for playing the full time, even after being dominated the rest of the match. It just takes one opportunity!",reaction,r/soccer,
91,"Absolute monster header. Great goal. I was listening to the game while doing yard work, so I didn't have a great feel for it, but sounded like Switzerland played some exceptionally uninspired soccer.",reaction,r/soccer,
92,This Qatari tie is a victory for slaveholding dictatorships everywhere.,reaction,r/soccer,
93,"Just had a quick look 12 Qatari born players , 14 born outside Qatar. The only reason I asked as it was well known that after they bought the 2022 WC they then brought in and gifted Citizenship to a bunch of foreigners to try and create a competitive team.",analysis,r/soccer,
94,Why don't they stop the clock after a goal? Can the other team throw the ball in and start play?,hot_take,r/soccer,
95,"Why don't they stop the clock after a goal? The clock keeps running until the referee blows his whistle for either half time (45 minutes plus stoppage time around 1-3 minutes, depending on how many stoppages in play there have been) or full time (another 45 minutes plus stoppage time, so 90 minutes in total plus stoppage time after each half). Can the other team throw the ball in and start play? No. After a goal, the ball is placed in the middle of the field, and the conceding team resumes play from the ref's whistle.",reaction,r/soccer,
96,Thank you for your detailed response. This really helps a lot!,reaction,r/soccer,
97,"The group all had draws, and each team scored one goal. Meaning all the goal differential tie breakers are at a draw. The tie breaker for Group B currently comes down to Switzerland advancing because they have the fewest number of red and yellow cards, and Canada advancing because they had the highest ranking in the last FIFA ranking table.",analysis,r/soccer,
98,Bit victimist but certain teams would have had this goal disallowed for climbing.,reaction,r/soccer,
99,Bravo Qatar. They didnt slam the door and you kept fighting.,reaction,r/soccer,
100,I went downstairs to put my pizza in the oven. I was gone less then a minute. I missed the Qatar goal.,hot_take,r/soccer,
101,"uh i was live at the game and they kept on having ""hydration breaks"" apparently they are mandatory this y",hot_take,r/soccer,
102,Its and own goal so technically Qatar still didnt score.,reaction,r/soccer,
103,This game ruined my parlay but Im so happy for Qatar,reaction,r/soccer,
104,The African brother playing for qatar is he a citizen? I thought they didn't grant citizenship to outsiders easily have things changed,hot_take,r/soccer,
105,"Nothing that wasnt already happening before. Africa has shown good teams and players for a while now. Also, Spain and Portugal and so on have shown poor performances so far. Not to take away the merit from teams like Cape Verde and Congo, but their adversaries werent playing good football on their own and both teams were clearly focused on surviving rather than attacking. Senegal decided to play a open game against France, for instance, and lost.",analysis,r/soccer,
106,"Portugal was horrible, regardless of Ronaldo. Martinez tactics were shocking.",reaction,r/soccer,
107,I thought the same thing. Why are they playing for a draw?,reaction,r/soccer,
108,More possession but less shots / shots on goal... Yikes,reaction,r/soccer,
109,playing so defensive in your 1st wc match with one of the most talented squads in the cup is genuinely crazy,hot_take,r/soccer,
110,"Congo's defence was like a literal wall, no matter what ever dribbles or angles Portugal come up with, their defence just goes in and doesnt let them go any further. The man marking was insane, they locked on Ronaldo nicely and he couldn't even have a freespace to play and shoot the ball. Congo's defence was definitely an A here. Great match this, I really wish Congo utilised their chances, that Bakambu man really needs to work on his shooting, he missed like two chances that could have been Congo's victory. Their passing also was quite bad, but great match nonetheless.",analysis,r/soccer,
111,"Yeah really the wingers were so nervous around the defence, and their defence was quite tight enough that Portugal had no chance creating a free space. As you said, their defence was the reason for the draw, really Congo could have gone in for another one but definitely a great display",analysis,r/soccer,
112,The amount of boos to Portugal and Ronaldo was easily heard through the TV despite the studio crew talking over it.,hot_take,r/soccer,
113,"They weren't booing, they were groaning. When you've got one selfish player undermining the entire team, its hard to function.",hot_take,r/soccer,
114,"Portugal had a lot of issues. Mainly about how passive they were and how there was no movement. Like at all. Ronaldo isnt necessarily the issue, the man was taking up two defenders by himself. Issue was Portugal couldnt and never exposed the theoretical space Ronaldo would have created by being marked by two guys. Movement was poor and they were just slinging crosses in hoping for the best, not to mention all the side and back passing after going up early. Overall a disappointing performance. Not much else to say.",analysis,r/soccer,
115,LOL Penaldo said he wants to play in the 2030 World Cup as well. They might take him out in a wheelchair!,reaction,r/soccer,
116,His gameplay is involved getting less touches and basically works on his positioning in the box. The midfield was not good at all with poor progressions. I think Ronaldo should play as an impact sub but idt he's even ready to hear it. Also Portugal likely won't be doing any experimentation.,analysis,r/soccer,
117,"blame. How can you as a team have 75% possession yet less shots on goal and less shots overall? That is a tactical failure. As a manager, you have Vitinha, Neves, and Bruno and made them look awful. That takes some skill.",analysis,r/soccer,
118,"Congolese defence did an amazing job though which is overlooked because everyone is shitting on Portugal. Messi was gifted two of those goals yesterday because of Zidane's errors, and also had he actually been sent off like he arguably should have the result could have been a lot different. I think Portugal will figure it out as the tournament goes on. Remember Argentina lost their first game of the last world cup and went on to win. It's too early to write off Portugal, but the next match with Colombia will be a good test to see how the team plays.",analysis,r/soccer,
119,"No red given on a clothesline. Ref blows full time before the 95th minute goes by with Congo in an attacking zone. They were doing everything in their power to have Portugal limp into a point. Uzbekistan isn't a pushover. And Colombia? Portugal looks like this moving forward, a last place finish isn't out of the question.",reaction,r/soccer,
120,"As the years go on, the gap between Ronaldo and Messi just widens further and further. Theres no question as to who the goat is now.",hot_take,r/soccer,
121,"what a stupid match, portugal mid field were just playing their own game doing pass in the parcel among themselves without pressing the ball forward. ronaldo didnt even get the ball... they need someone to take the ball forward,, also their defense was just nowhere no formation players were running here and there,, absolutely disappointed",analysis,r/soccer,
122,"Trying to cross all day long and hope your striker to hit one in is not a good strategy Also, CR7 needs to be in play more, be part of the buildup, drag defenders out of the box, create space for your teammates or Portugal is not going far at",analysis,r/soccer,
123,Dr. Congo prescribes: Humility RX Instructions for Portugal team: take 1 dose every 6 days until symptoms of Ronaldo being the GOAT disappears.,hot_take,r/soccer,
124,"Ronaldo isn't the fault. It's the coach. He is wasting an entire golden squad on playing like a fucking possession obsessed cunt. Ronaldo is good at creating space for others, doing tap ins, the usual. But he can't do that when no one else is entering the area. And he hasn't been great, so there's some fault on him for sure. And as the captain he should be the first one saying something about it. But the whole team is playing crap. No intensity. Stop going to the beach and actually play some fucking football, you divas.",analysis,r/soccer,
125,"What a dull pedestrian game to watch, incredible Roberto Martinez continues to be employed without doing anything in the last 10 years",hot_take,r/soccer,
126,Portugal coach is really scared that Ronaldo fans and press will get over his head like last coach and he will lost his job lol. Bro had 5 substitute and decided to make the washed out unc played for whole 90 mins lol who actually missed some really good chances,analysis,r/soccer,
127,honestly. They would have done at least as well just plucking a fan out of the audience and having them play striker,hot_take,r/soccer,
128,"Savoring every sweet moment of Portugal's disappointment. Seeing their players all mad and starting fights in the last minute feels like the wind beneath my wings. Can we stop saying someone 'missed' their penalty if it was saved by the keeper? Discussion If it was off target, they missed. If it was on target, it was saved. More credit to the keeper, less harsh on the taker?",analysis,r/soccer,
129,"The Ronaldo injury still makes me sad thinking what could have been if he didn't blow up his knee, insane foot",hot_take,r/soccer,
130,he was the best player at that time before the injury and even after it though he was not even close to his time before the injury,hot_take,r/soccer,
131,He did come back in a big way on the 2002 WC vs a strong Germany squad. He won the golden boot 9 goals in 8 games. Final was 2/0 Brazil and he scored both goals. So he did show his brilliance there. May wish was that he didnt play in Italy. Italy was at the time the place to be to make $$$ but it was a brutal place to play vs the defenders. They chopped R9 so many times as well as Van Basten etc. Both of these guys retired early because of that. VB was 28. R9 played longer in Brazi,analysis,r/soccer,
132,"Yes it was , unfortunately a butcher league at the time. Did you see the 2002 final to the Germany team",hot_take,r/soccer,
133,"Del Piero in 98. He still had a phenomenal career after that, but he was legitimately a top 3 attacker around that time.",hot_take,r/soccer,
134,Did you know that Man U played that preseason game vs Sporting to scout Quaresma. Then they witnessed CR7 destroy their left back who was dubbed at half time lol. So Ferguson made it his priority to leave with a contract since he heard that other teams were close on buying him. Arsenal was one. Ronaldo and family went back with the team to MAN U,reaction,r/soccer,
135,"choices, Adriano. The guy was a lethal striker.",reaction,r/soccer,
136,Watching the Sweden game just now made me sad for Kulusevski. He looked so nice before his injuries derailed his career.,hot_take,r/soccer,
137,"Ledley King, widely viewed by his peers (including Henry) as the best centre-back in the Premier League in the era of Ferdinand, Vidic, Terry, etc. Played at a top level for YEARS without training because his cartridge free knees could only tolerate 90 minutes a week Thierry Henry: ""Ledley King was the best defender I've played against and the only one that didn't have to foul me to get the ball.",analysis,r/soccer,
138,"Marco Reus. Fantastic player who's somehow missing from the ""best of his generation"" talks because of how much time he spent injured. Gotze is another one. Wilshere, Ruben loftus cheek had it all but injuries killed their careers. Umtiti could've had better career had he listened to his doctors and get that knee fixed. Ledley king too.",analysis,r/soccer,
